transaction_id,items
31,"['struggling', 'planet', 'got', 'forest', 'act', 'world', 'see', 'protect', 'harsher', 'away', 'heartbreaking', 'fast', 'year', 'weve', 'climate', 'environmental', 'wildlife', 'wonder', 'good', 'steal', 'decline']"
32,"['sight', 'seeing', 'succeding', 'inspiring', 'flamingo', 'finally', 'nature', 'thing', 'many', 'survival', 'really', 'teach', 'struggle']"
33,"['dubbed', 'please', 'hindi']"
34,"['men', 'never', 'camera', 'die']"
35,"['secretas', 'inspirador', 'explora', 'obra', 'celebra', 'zona', 'no', 'maestra', 'la', 'permanece', 'que', 'donde', 'intacta', 'una', 'salvaje', 'impresionante', 'planeta', 'pureza', 'naturaleza', 'del', 'lugares', 'lleva']"
36,"['chapter', 'completed', 'student', 'seriously', 'like', 'ecology', 'pcb', 'watching']"
37,"['funeral', 'predated', 'deer', 'watching', 'one']"
38,"['fake', 'bear', 'camera', 'shoot', 'walk', 'ridiculous', 'underwater', 'torally']"
39,"['wild', 'animal', 'video', 'watching', 'love']"
40,"['mother', 'nature', 'living', 'care', 'creature']"
41,"['hand', 'planet', 'amazed', 'magic', 'mystery', 'secret', 'beauty', 'highlight', 'corner', 'documentary', 'hidden', 'well', 'aweinspiring', 'video', 'pure', 'remain', 'human', 'place', 'untouched']"
42,"['untouched', 'sure', 'people']"
43,"['planet', 'like', 'prove', 'moment', 'guest']"
44,"['wild', 'battlesnature', 'time', 'animal', 'recently', 'yet', 'amazing', 'fascinating', 'posted', 'calming']"
45,"['escaped', 'impala', 'moment']"
46,"['discover', 'hand', 'pristine', 'planet', 'like', 'full', 'rare', 'secret', 'beauty', 'corner', 'area', 'nature', 'hidden', 'adventure', 'unforgettable', 'opportunity', 'thrives', 'miss', 'pure', 'journey', 'witness', 'earth', 'remain', 'embark', 'human', 'ultimate', 'untouched', 'wonder', 'raw', 'realm', 'dont', 'never']"
47,"['wow', 'may', 'wishing', 'follow', 'nature', 'definitely', 'channel', 'moment', 'continuous', 'absolutely', 'regularly', 'breathtaking', 'great', 'video', 'always', 'bbc', 'earth', 'success', 'joy', 'wildlife', 'growth', 'truly', 'endless', 'mesmerizing', 'captivating', 'health']"
48,"['son', 'video', 'interested']"
49,"['lord', 'unwantedly', 'thank', 'hyena', 'savior', 'bcm']"
50,"['thank', 'really', 'like', 'video']"
51,"['earth', 'wildlife', 'animal']"
52,"['hindiplz', 'upload', 'video']"
53,"['nature', 'protect', 'mouth', 'wildlife']"
54,"['healthy', 'amazing', 'full', 'wishing', 'beauty', 'follow', 'continued', 'enjoy', 'content', 'definitely', 'channel', 'amaze', 'capture', 'incredible', 'regularly', 'video', 'stay', 'brilliantly', 'bbc', 'earth', 'success', 'joy', 'wildlife', 'cease', 'growth', 'fascinating', 'never']"
55,"['documentary', 'nothind', 'bless', 'watching', 'video', 'allah']"
56,"['matter', 'incredible', 'escaped', 'smoothly', 'location', 'nature', 'impala', 'footage', 'bomb']"
57,"['capture', 'music', 'work', 'try', 'also', 'like', 'peaceful', 'nature', 'channel', 'amazing', 'playing', 'pure', 'feel', 'live', 'moment']"
58,"['watch', 'relaxing', 'animal']"
59,"['bbc', 'look', 'quality']"
60,"['bear', 'human', 'jungle', 'cooking', 'smart', 'feel', 'overtake', 'teach']"
61,"['leave', 'planet', 'day', 'thing', 'one', 'guest']"
62,"['wild', 'power', 'forever', 'testament', 'continue', 'also', 'future', 'generation', 'wonder', 'nature', 'witness', 'beautiful', 'land', 'hopefully', 'preserved']"
63,"['video', 'watching', 'enjoy']"
64,"['touching', 'capturing', 'filming', 'powerful', 'reflection', 'wisdom', 'make', 'timeless', 'stunning', 'gratitude', 'nature', 'crew', 'watching', 'teaching', 'moment', 'gently', 'bear', 'mother', 'lesson', 'survival', 'resilience', 'movement', 'deep', 'profoundly', 'captivating', 'art', 'cub']"
65,"['bear', 'cute', 'like', 'really']"
66,"['beauty', 'love', 'work', 'know', 'balance', 'thats', 'nature', 'think', 'hard']"
67,"['inspire', 'attenboroughs', 'deep', 'continue', 'voice', 'planet', 'appreciate', 'generation', 'wisdom', 'nature', 'safeguard', 'david', 'legacy', 'beyond', 'love', 'measure', 'sir']"
68,"['beauty', 'wild', 'celebrates', 'cinematography', 'cheetah']"
69,"['picture', 'every', 'nature', 'shot', 'vivid']"
70,"['beauty', 'capture', 'wild', 'documentary', 'animal', 'truly', 'nature', 'raw']"
71,"['patiently', 'human', 'wait', 'come', 'predator', 'maggot']"
72,"['earth', 'becomes', 'life', 'human', 'every', 'realty', 'end', 'food', 'maggot', 'creature']"
73,"['good', 'video', 'amazing', 'wow']"
74,"['subk', 'complete', 'thank', 'friend']"
75,"['bravo', 'trs', 'documentaire', 'joli']"
76,"['amazing', 'fishing', 'attractive', 'hunting']"
77,"['capture', 'point', 'even', 'leopard', 'view', 'footage']"
78,"['thought', 'wouldnt', 'leopard', 'stronger', 'hyena']"
79,"['bbc', 'rare', 'taken', 'video']"
80,"['planet', 'like', 'prove', 'moment', 'guest']"
81,"['escaped', 'thats', 'masha', 'wow', 'predator', 'imphala', 'really', 'allah']"
82,"['irritating', 'music', 'completely', 'brilliant', 'incessant', 'flamingo', 'nature', 'drowned', 'unnecessary', 'photography', 'sound', 'commentary', 'drowns', 'section']"
83,"['human', 'area', 'untouched', 'could', 'previously', 'truly', 'harbor', 'unknown', 'specie']"
84,"['bbc', 'presentation', 'wawoo', 'flim', 'world', 'bravo']"
85,"['checked', 'even', 'least', 'tell', 'anyone', 'though', 'like', 'arent', 'sure', 'wasnt', 'dont', 'pretty', 'list', 'last', 'squatter', 'guest', 'squatting']"
86,"['payer', 'must', 'stage', 'merely', 'questioned', 'day', 'men', 'return', 'world', 'woman', 'finchvalor', 'judgment']"
87,"['control', 'monkey', 'var', 'happens']"
88,"['doccumentary', 'excellent', 'thankyou']"
89,"['much', 'animal', 'day', 'made', 'video', 'love']"
90,"['footage', 'jaguar', 'real']"
91,"['much', 'running', 'realize', 'matter', 'creek', 'didnt', 'fecal', 'ingesting', 'may', 'drinking', 'fish', 'piss']"
92,"['tell', 'great', 'idiot']"
93,"['disadvantage', 'leopard', 'yet', 'hunter', 'one', 'speed', 'succesful']"
94,"['everything', 'ruined', 'master', 'hyena']"
95,"['mining', 'caused', 'powerful', 'warming', 'authority', 'allowing', 'certain', 'jade', 'gold', 'gas', 'war', 'well', 'issue', 'mineral', 'gemstone', 'global', 'human', 'country', 'oil', 'ignoring']"
96,"['thank', 'wildlife', 'totally', 'nature', 'awesome']"
97,"['hunger', 'human', 'animal', 'nature', 'understand', 'dont', 'pure', 'hunt', 'greed']"
98,"['attenborough', 'need', 'better', 'way', 'david', 'make', 'commentary']"
99,"['capturing', 'step', 'filming', 'every', 'first', 'generation', 'thank', 'wisdom', 'beauty', 'nature', 'crew', 'guide', 'watching', 'hunt', 'bear', 'patiently', 'moving', 'mother', 'lesson', 'breathtaking', 'survival', 'deeply', 'passed', 'heartfelt', 'testament', 'take', 'raw', 'mesmerizing', 'cub']"
100,"['ending', 'happy', 'without', 'good', 'eaten', 'bird', 'born']"
101,"['david', 'like', 'sound', 'boy']"
102,"['bbc', 'earth', 'elephant', 'like', 'lion', 'good', 'tiger', 'channel', 'video', 'hey', 'upload']"
103,"['god', 'creation', 'nature', 'wisdom', 'perfect', 'really', 'think']"
104,"['bellatrix', 'narrated', 'lestrange']"
105,"['spill', 'goo', 'yabadabadoooo', 'like', 'bro']"
106,"['greatest', 'saw', 'ture', 'last', 'messanger', 'muhammad', 'allah']"
107,"['separate', 'leopard', 'like', 'dear', 'two', 'seemed', 'dragged', 'occasion', 'dead']"
108,"['much', 'bbc', 'earth', 'thank', 'animal', 'camerman', 'great', 'amazing', 'video', 'bird', 'stunning']"
109,"['earth', 'life', 'remind', 'incredible', 'diversity', 'protecting', 'like', 'documentary', 'wildlife', 'worth']"
110,"['nice', 'much', 'video', 'thanks']"
111,"['flying', 'lift', 'god', 'gave', 'thats', 'body', 'start', 'breeze', 'ice', 'beautiful']"
112,"['mysterious', 'still', 'ever', 'planet', 'keep', 'way', 'thing', 'part', 'interference', 'imagine', 'world', 'corner', 'ecosystem', 'diving', 'ive', 'nature', 'without', 'hidden', 'understand', 'undiscovered', 'think', 'barely', 'specie', 'thrives', 'incredible', 'live', 'rarest', 'youve', 'earth', 'wild', 'surprising', 'human', 'place', 'untouched', 'evolving', 'animal', 'whats', 'fascinating', 'learned']"
113,"['earth', 'starship', 'place', 'planet', 'wonderful']"
114,"['offered', 'sustainable', 'resolution', 'thanks', 'high', 'dont', 'video', 'think']"
115,"['nonstop', 'minute', 'eaten', 'privilege', 'every', 'stomach', 'nature', 'living', 'made', 'amazing', 'alive', 'being', 'beautiful', 'hundred', 'think', 'thousand', 'dead', 'probably']"
116,"['saved', 'hyena', 'predator', 'hearted', 'impala', 'kind']"
117,"['bbc', 'every', 'delivering', 'pristine', 'inspiring', 'thank', 'realistic', 'truly', 'nature', 'detail', 'magical', 'beautiful', 'stunning', 'footage', 'film']"
118,"['exactly', 'taught', 'swim', 'thats', 'brother']"
119,"['case', 'tightly', 'like', 'usually', 'eas', 'struggle', 'brain', 'going', 'freezing', 'prey', 'predator', 'endorphin', 'instinct', 'opportunity', 'crazy', 'lack', 'response', 'hold', 'fairly', 'time', 'worst', 'scenario', 'pain', 'common', 'best', 'grant']"
120,"['rousseau', 'goodman', 'god', 'emile', 'evilsays', 'thing', 'made', 'meddles', 'become']"
121,"['water', 'stupid', 'bird', 'get']"
122,"['frog', 'named', 'desert', 'rain']"
123,"['nature', 'version', 'wind', 'gone']"
124,"['bear', 'drone', 'camera', 'back', 'mini', 'salmon', 'otherwise', 'underwater', 'close', 'paw', 'unlikely']"
125,"['beastars', 'look', 'scene', 'goofy', 'like', 'thumbnail']"
126,"['kingdom', 'among', 'animal', 'hyna', 'baboon', 'reason', 'hate']"
127,"['walked', 'youve', 'look', 'like', 'accidentally', 'lover', 'make', 'thumbnail']"
128,"['catch', 'store', 'fish', 'food']"
129,"['watch', 'documentary', 'fragment']"
130,"['wont', 'hurt', 'vein', 'like', 'make', 'seemingly', 'nature', 'microplastics', 'bear', 'blood', 'little', 'around', 'video', 'floating', 'untouched', 'correction', 'title', 'cause', 'bet']"
